Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time
201,runJob at PythonRDD.scala:441,[200],1,1489739390338,1489739390395
204,runJob at PythonRDD.scala:441,[203],4,1489739390422,1489739390481
207,json at null:-1,[206],1,1489739390672,1489739408401
210,mean at /home/sshuser/execution_scripts/../DQAssessment.py:1251,[209],428,1489739408902,1489739410586
211,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:1235,[],428,1489739410669,1489739516674
212,combineByKey at /home/sshuser/execution_scripts/../DQAssessment.py:1239,[211],428,1489739516736,1489739522981
213,runJob at PythonRDD.scala:441,[212],1,1489739522992,1489739523067
216,json at null:-1,[215],1,1489739523465,1489739540123
219,mean at /home/sshuser/execution_scripts/../DQAssessment.py:1251,[218],428,1489739540501,1489739542657
220,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:1235,[],428,1489739542744,1489739639031
221,combineByKey at /home/sshuser/execution_scripts/../DQAssessment.py:1239,[220],428,1489739639089,1489739641233
222,runJob at PythonRDD.scala:441,[221],1,1489739641237,1489739641302
225,runJob at PythonRDD.scala:441,[224],4,1489739641346,1489739641410
228,json at null:-1,[227],1,1489739641626,1489739659635
231,mean at /home/sshuser/execution_scripts/../DQAssessment.py:1251,[230],428,1489739659881,1489739661589
232,mean at /home/sshuser/execution_scripts/../DQAssessment.py:1262,[],36,1489739661636,1489739661914
233,runJob at PythonRDD.scala:441,[],1,1489739661930,1489739662017
234,runJob at PythonRDD.scala:441,[],4,1489739662037,1489739662135
235,runJob at PythonRDD.scala:441,[],20,1489739662154,1489739662347
236,json at null:-1,[],1,1489739662488,1489739665896
237,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:257,[],428,1489739666146,1489739763654
238,reduce at /home/sshuser/execution_scripts/../DQAssessment.py:262,[237],428,1489739763721,1489739765697
240,runJob at PythonRDD.scala:441,[239],1,1489739765754,1489739765809
242,json at null:-1,[241],1,1489739766319,1489739784423
244,mean at /home/sshuser/execution_scripts/../DQAssessment.py:276,[243],428,1489739784774,1489739786747
246,mean at /home/sshuser/execution_scripts/../DQAssessment.py:276,[245],428,1489739786852,1489739789009
247,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:257,[],428,1489739789104,1489739886781
248,reduce at /home/sshuser/execution_scripts/../DQAssessment.py:262,[247],428,1489739886811,1489739888553
250,runJob at PythonRDD.scala:441,[249],1,1489739888577,1489739888626
252,runJob at PythonRDD.scala:441,[251],4,1489739888644,1489739888708
254,json at null:-1,[253],1,1489739889036,1489739907866
256,mean at /home/sshuser/execution_scripts/../DQAssessment.py:276,[255],428,1489739908267,1489739910056
258,mean at /home/sshuser/execution_scripts/../DQAssessment.py:276,[257],428,1489739910125,1489739911924
259,runJob at PythonRDD.scala:441,[],1,1489739911959,1489739912053
260,runJob at PythonRDD.scala:441,[],4,1489739912067,1489739912163
261,runJob at PythonRDD.scala:441,[],19,1489739912183,1489739912378
262,json at null:-1,[],1,1489739912500,1489739914886
263,showString at NativeMethodAccessorImpl.java:-2,[],1,1489739915172,1489739915241
264,showString at NativeMethodAccessorImpl.java:-2,[],11,1489739915249,1489739915330
265,json at null:-1,[],1,1489739915538,1489739916539
266,saveAsTextFile at NativeMethodAccessorImpl.java:-2,[],1,1489739916898,1489739922139
